"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene5401",-8.42187585570957,9.78521597100867,303.528072307916,5.61226220246112e-68,8.09232086972868e-64
"dp_gene21424",-8.81023429650979,8.88616876638592,293.356604539474,9.22989611456583e-66,6.65429360379623e-62
"dp_gene17396",-9.62918468548308,7.92064639562768,275.417713441012,7.48487841942042e-62,3.59748206432077e-58
"dp_gene4203",-7.34290867493738,10.4018133826788,267.437684610655,4.10548451481817e-60,1.47992453047908e-56
"dp_gene4572",-8.24664124332163,8.23945380682677,261.379161675417,8.58805528335701e-59,2.47662338261449e-55
"dp_gene15024",-8.19650615188846,8.04371212798727,250.74242152088,1.78889988093758e-56,4.29902456387316e-53
"dp_gene182",-7.34421186787616,8.52093966570715,243.072623757341,8.40918224830068e-55,1.73217141197497e-51
"dp_gene2810",-7.91109397460712,6.28885955446971,189.369345837262,4.3650617933256e-43,7.86747824974523e-40
"dp_gene3419",-5.39480246717953,11.5476994208403,178.398509097511,1.08417455812257e-40,1.73696810595215e-37
"dp_gene9448",-7.92730909528319,5.82482079900149,172.683998386414,1.91858326318129e-39,2.7664052071811e-36
